"_id",Action,Indie,Simulation,Adventure,RPG,Racing,Nudity,Strategy,Free to Play,Sports,Casual,Design & Illustration,Web Publishing,Massively Multiplayer,Violent,Gore,Early Access,Sexual Content,Utilities,Animation & Modeling,Video Production,Education,Software Training,Audio Production,Photo Editing,Documentary,Episodic,Short,Movie,Tutorial,Accounting,360 Video
144,6,3,0,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,8,3,2,5,3,0,2,2,4,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2,1,0,4,5,0,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,19,1,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,56,56,0,0,0,55,0,0,0,55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
680,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,43,40,4,10,12,0,0,9,7,0,3,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,54,54,0,20,82,34,0,0,0,34,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,21,10,23,29,28,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,83,36,1,37,12,0,0,2,34,10,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,15,27,17,20,33,0,14,28,0,0,14,5,0,11,15,14,17,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
93,5,2,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,4,9,5,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,21,17,4,17,10,0,7,1,3,2,4,0,0,16,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,0,5,7,1,4,0,0,9,0,0,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1072,47,24,9,12,8,0,29,15,0,1,8,1,0,2,27,27,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,5,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
714,9,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,29,10,2,8,12,0,0,4,14,1,7,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,10,34,23,5,10,3,0,32,0,1,12,3,0,1,3,1,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1076,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,3,3,0,3,3,0,3,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,59,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,145,42,5,95,10,4,0,12,27,4,8,0,0,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,41,11,6,7,6,0,0,2,28,0,4,0,0,2,7,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,22,4,2,9,5,0,1,3,1,0,0,2,0,8,8,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
561,55,8,0,12,10,0,5,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,8,12,6,9,9,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,83,13,4,5,5,2,0,1,3,2,4,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,42,17,15,21,45,0,0,45,2,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,18,9,32,11,2,0,1,2,1,1,2,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,92,3,1,58,15,1,0,0,0,3,2,0,0,42,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,53,33,1,29,29,0,25,3,27,0,1,3,3,30,28,25,2,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0
287,0,0,0,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
