"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1437,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,21,9,1,19,15,5,11,6,0,0,3,1,8,15,15,5,5,3,3,1,3,3,0,0,0,1,0,0,0,0,0,0
725,15,7,0,15,16,1,4,7,0,0,3,2,1,9,9,9,3,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
1438,3,0,0,3,3,0,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,11,48,0,15,9,0,2,8,0,0,5,46,4,4,5,5,2,49,0,1,2,0,0,0,1,0,0,0,0,0,0,0
141,73,71,40,71,33,7,2,68,0,0,28,0,61,66,40,47,0,9,0,5,0,0,0,40,0,40,0,0,0,0,0,0
979,5,6,3,6,6,0,1,4,0,0,2,4,3,3,0,5,0,4,1,1,0,0,0,0,3,0,0,0,0,0,0,0
1439,4,3,0,4,4,0,3,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2,3,0,4,4,1,2,1,0,0,1,0,1,0,0,2,0,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0
1440,62,66,26,71,56,4,7,35,3,0,14,24,12,26,12,56,17,19,6,8,5,1,0,1,28,2,0,0,0,0,0,0
