"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1285,299,206,0,299,206,0,93,0,0,0,93,0,93,206,0,0,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0
1286,9,626,579,588,579,0,9,9,0,0,0,626,0,579,0,579,0,47,0,0,0,0,0,0,579,0,0,0,0,0,0,0
772,0,1373,1073,1073,1073,0,0,0,0,0,0,1316,0,1073,0,1073,0,300,0,0,0,0,0,0,1130,0,0,0,0,0,0,0
1287,633,703,154,524,701,0,0,86,0,0,0,364,84,230,0,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
1288,181,181,152,152,152,152,29,152,152,152,0,152,152,152,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1036,543,0,1036,1036,0,0,1036,0,0,502,0,0,493,493,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,3276,3441,0,409,3431,0,3047,40,0,0,0,0,3441,0,0,0,40,189,0,0,0,0,0,369,3416,0,0,0,0,0,0,0
1290,1572,767,162,1734,1479,307,823,797,0,0,0,253,350,1436,823,656,1013,562,350,0,307,307,0,0,656,0,0,0,0,0,0,0
425,1112,419,219,1112,1048,66,674,876,0,0,12,66,19,956,758,372,340,61,0,31,0,0,0,0,0,0,0,0,0,0,0,0
801,31,7,0,31,31,0,31,0,0,0,0,0,0,24,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,3256,3824,1263,4138,4137,270,14,1672,0,0,1107,788,2677,1876,571,2683,0,637,637,81,81,81,0,14,812,0,0,0,0,0,0,0
186,1168,1192,77,1167,756,0,77,680,0,0,0,436,0,1,0,488,0,513,0,0,0,0,0,0,0,488,0,0,0,0,0,0
456,409,342,0,409,394,0,15,409,0,0,109,327,203,188,79,394,79,218,79,388,79,79,0,0,0,0,0,0,0,0,0,0
1292,1,33,0,1,33,0,0,0,0,0,0,0,33,0,0,0,0,33,32,0,0,0,0,33,33,0,0,0,0,0,0,0
1293,359,11,0,359,348,0,0,348,0,0,0,0,11,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,16385,13493,2107,16215,13372,3116,121,13133,0,0,6414,5300,13128,12633,8729,13674,369,3588,4018,8146,3060,3060,0,2427,1119,2466,0,0,0,0,0,0
1294,2843,3627,708,2200,2991,0,791,1783,0,0,1620,2288,1792,1576,127,1383,752,882,0,1405,0,0,0,4,768,1,0,0,0,0,0,0
38,0,197,164,164,164,0,33,0,0,0,0,164,0,164,0,164,0,33,0,0,0,0,0,0,164,0,0,0,0,0,0,0
972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,109,8,0,83,83,79,6,83,0,0,2,0,2,81,81,83,80,2,2,2,2,81,0,0,0,0,0,0,0,0,0,0
683,990,2606,939,2124,2262,2,476,613,0,0,9,2010,261,939,9,1342,393,1473,65,157,65,65,0,0,1272,0,0,0,0,0,0,0
